This is a test scenario,,,,,,,,,
OSMFILE,ny_export.pbf,,,,,,,,
,Latitude,Longitude,Emissions,Speed,Capacity,cost/km,fixedCost,Identity,Route
DELIVERY,40.7783,-73.9816,8,,,,,,
DELIVERY,40.761,-73.9688,15,,,,,,
DELIVERY,40.7495,-73.9835,3,,,,,,
DELIVERY,40.7098,-74.0098,17,,,,,,
DELIVERY,40.7803,-73.9498,13,,,,,,
DELIVERY,40.6706,-73.9849,17,,,,,,
DELIVERY,40.6816,-73.9759,5,,,,,,
DELIVERY,40.7001,-73.9076,19,,,,,,
DELIVERY,40.6688,-73.9851,15,,,,,,
DELIVERY,40.7209,-73.994,12,,,,,,
DELIVERY,40.7631,-73.989,9,,,,,,
DELIVERY,40.7153,-74.0085,18,,,,,,
DELIVERY,40.7339,-74.0059,2,,,,,,
DELIVERY,40.7401,-73.9971,19,,,,,,
DELIVERY,40.7637,-73.9618,3,,,,,,
DELIVERY,40.7247,-73.9964,16,,,,,,
DELIVERY,40.7035,-73.9303,14,,,,,,
DELIVERY,40.647,-74.0189,16,,,,,,
DELIVERY,40.6739,-73.9632,4,,,,,,
DELIVERY,40.7513,-73.8636,15,,,,,,
DELIVERY,40.7543,-73.8602,14,,,,,,
DELIVERY,40.7581,-73.9177,8,,,,,,
DELIVERY,40.7596,-73.9195,17,,,,,,
DELIVERY,40.7171,-74.0773,12,,,,,,
DELIVERY,40.8414,-73.841,8,,,,,,
DELIVERY,40.7756,-73.9102,11,,,,,,
DELIVERY,40.6948,-73.9116,5,,,,,,
DELIVERY,40.6789,-73.9865,11,,,,,,
DELIVERY,40.7328,-74.01,7,,,,,,
DELIVERY,40.726,-74.0016,9,,,,,,
DELIVERY,40.7569,-73.9904,2,,,,,,
DELIVERY,40.7033,-73.9329,13,,,,,,
DELIVERY,40.6692,-73.9861,17,,,,,,
DELIVERY,40.6909,-73.9855,3,,,,,,
DELIVERY,40.6869,-73.9853,17,,,,,,
